year,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,firmbirth_firms,firmbirth_estabs,firmbirth_emp,firmbirth_rate,firmdeath_rate
1978,3558378,4325029,70141112,67558494,640405,15.1,472395,11.139,14228637,4593741,9634896,6.8,21.061,9064076,3564360,5499716,5.276,13.417,5164561,7.645,26.833,326348,331478,1820180,486456,493546,2545510,0.13670723009191266,0.09171257241361092
1979,3691520,4484880,74603825,72468330,616157,13.971,466802,10.585,13672711,4356672,9316039,6.012,18.867,9396651,3253627,6143024,4.49,12.967,4276060,5.901,25.933,330034,334542,1787799,473343,477649,2420548,0.12822441704230236,0.0894032810332871
1980,3739076,4550299,74985039,74783479,578738,12.81,514155,11.38,11766595,4059305,7707290,5.428,15.734,11365366,3491752,7873614,4.669,15.198,401229,0.537,30.395,369130,374135,1938877,439667,443727,2230247,0.11758707231412252,0.09872225116579604
1981,3768112,4611047,75707261,75335963,586628,12.811,522871,11.418,12123120,4577047,7546073,6.076,16.092,11375394,3487213,7888181,4.629,15.1,747726,0.993,30.199,377121,383413,1998040,430121,432328,2391774,0.11414761556981322,0.10008221623985698
1982,3741696,4616757,74885775,75245261,575099,12.462,570963,12.373,11833257,4227649,7605608,5.618,15.726,12542932,3854042,8688890,5.122,16.669,-709675,-0.943,31.452,406273,412208,2220580,418627,425083,2270738,0.1118816173200602,0.1085799060105364
1983,3830488,4712019,73981735,74414676,624231,13.382,529411,11.35,12223590,4480846,7742744,6.021,16.426,13107031,4109271,8997760,5.522,17.614,-883441,-1.187,32.853,363038,370048,2097192,456593,460859,2588121,0.11919969466031483,0.09477591366948546
1984,4001129,4903678,78739690,76280111,698764,14.531,509075,10.586,14886021,5225059,9660962,6.85,19.515,9963978,3628357,6335621,4.757,13.062,4922043,6.453,26.125,364739,371116,2067677,529586,533954,2918578,0.1323591416322743,0.09115902036650156
1985,4072907,4986158,81691290,80228092,683242,13.817,600463,12.143,14942649,5189724,9752925,6.469,18.625,12015537,4847264,7168273,6.042,14.977,2927112,3.648,29.953,431658,440691,2816090,512398,516849,2968251,0.1258064571570134,0.10598277839390882
1986,4157322,5112167,83737941,82651762,710987,14.083,583658,11.561,14960805,5543131,9417674,6.707,18.101,12780349,4368620,8411729,5.286,15.463,2180456,2.638,30.926,414735,422563,2550865,516927,518900,2970083,0.12434134281636111,0.09976013404783175
1987,4223743,5224172,85856852,85192218,739670,14.312,627528,12.142,16302074,6495453,9806621,7.624,19.136,14972986,5264026,9708960,6.179,17.576,1329088,1.56,35.151,435821,444168,2819308,513548,522108,3393509,0.12158599611766152,0.10318359805509
1988,4307935,5358459,88382744,87193415,738592,13.949,611776,11.554,16361511,6241738,10119773,7.158,18.765,13987957,5097193,8890764,5.846,16.042,2373554,2.722,32.085,425396,435348,2788081,506970,515029,3044893,0.1176828341188992,0.09874707951721648
1989,4381715,5471158,91331567,89867895,723445,13.358,612883,11.316,16256601,5937414,10319187,6.607,18.089,13355410,4986234,8369176,5.548,14.861,2901191,3.228,29.722,429511,441754,2785903,502548,509531,2993211,0.11469207833006026,0.09802349080211743
1990,4445237,5570098,93670458,92586001,700885,12.695,602891,10.92,15499475,5572404,9927071,6.019,16.741,13331548,4564854,8766694,4.93,14.399,2167927,2.342,28.798,433898,444877,2719940,493052,498687,2896304,0.11091692074010902,0.09760964376027645
1991,4412315,5605711,91447316,92565800,690632,12.366,648731,11.616,13979335,5619110,8360225,6.07,15.102,16226462,5496230,10730232,5.938,17.53,-2247127,-2.428,30.204,453823,466599,3379761,450736,455641,2547398,0.10215408464717501,0.10285371737965218
1992,4413565,5615239,91433740,91423653,649148,11.576,633960,11.305,14677639,5128483,9549156,5.61,16.055,14654876,5119488,9535388,5.6,16.03,22763,0.025,32.059,415354,426553,2696186,438697,446289,2486672,0.09939742589040831,0.09410850412308418
1993,4495290,5681708,93095941,92278535,649952,11.507,582849,10.319,14922114,4859062,10063052,5.266,16.171,13302631,4463420,8839211,4.837,14.416,1619483,1.755,28.831,386334,398439,2315485,461076,465079,2540209,0.10256868856069352,0.08594195257703062
1994,4575022,5789713,95637767,94532513,680939,11.864,580690,10.117,15273847,5357128,9916719,5.667,16.157,13061269,4531981,8529288,4.794,13.817,2212578,2.341,27.633,398836,410740,2476052,475987,480959,2687752,0.10404037401350201,0.08717684854848785
1995,4673760,5920339,99010719,97272917,706355,12.065,574707,9.816,16025378,5684106,10341272,5.843,16.475,12543905,4312192,8231713,4.433,12.896,3481473,3.579,25.791,398622,411657,2465947,494993,500344,2791721,0.10590894697203108,0.08528936017253774
1996,4721279,5998503,100039208,99133907,702084,11.805,599444,10.079,15737799,5772772,9965027,5.823,15.875,13932975,4648266,9284709,4.689,14.055,1804824,1.821,28.109,416572,429228,2629298,493270,495289,2796451,0.10447804503821952,0.08823287079623975
1997,4776188,6075304,103094473,101735393,737295,12.212,662092,10.966,18181514,6431043,11750471,6.321,17.871,15443812,5769499,9674313,5.671,15.18,2737702,2.691,30.361,434198,449148,2913807,494468,502933,2808431,0.10352775058268225,0.09090890057091555
1998,4853360,6187384,107675470,106021656,702487,11.437,612357,9.969,17951863,6120259,11831604,5.773,16.932,14616084,4951337,9664747,4.67,13.786,3335779,3.146,27.572,400478,413222,2474487,477232,479638,2782412,0.09833022895478596,0.08251561804605469
1999,4882927,6246086,109797820,108810177,691376,11.12,633585,10.191,17668519,6099127,11569392,5.605,16.238,15693164,5634130,10059034,5.178,14.423,1975355,1.815,28.845,408706,424008,2732112,451324,454968,2467686,0.09242898777720822,0.08370102604441967
2000,4902684,6301306,113580997,111853900,680829,10.849,628872,10.021,18668174,6158781,12509393,5.506,16.69,15219818,5365512,9854306,4.797,13.607,3448356,3.083,27.214,405072,420708,2584177,446302,451083,2552310,0.0910321774766638,0.08262249820710452
2001,4913035,6332816,113769131,113651657,694178,10.99,661425,10.471,17763121,6321105,11442016,5.562,15.629,17526801,6321898,11204903,5.563,15.422,236320,0.208,30.843,408289,425810,2822809,437112,441350,2461299,0.08896985264709086,0.08310321420466169
2002,4929586,6392493,111806506,113154281,758946,11.912,716886,11.252,18534099,7463061,11071038,6.595,16.379,21242018,7146785,14095233,6.316,18.773,-2707919,-2.393,32.759,424399,439591,3423537,455356,461071,3032369,0.0923720572072381,0.08609221950889993
2003,4992508,6460175,112478966,112142195,735016,11.44,665136,10.352,17692810,6027898,11664912,5.375,15.777,17025386,5843273,11182113,5.211,15.182,667424,0.595,30.364,416575,428329,2631253,467762,470574,2593089,0.09369278927545034,0.08344002653576119
2004,5085577,6567827,114162619,113383454,749724,11.509,642842,9.868,17240952,5839987,11400965,5.151,15.206,15719523,5538670,10180853,4.885,13.864,1521429,1.342,27.728,414467,426436,2644174,505317,508168,2799257,0.0993627665061408,0.08149852022690837
2005,5167221,6677261,115436979,114832962,769549,11.62,660837,9.978,17001251,6131216,10870035,5.339,14.805,15788686,5183391,10605295,4.514,13.749,1212565,1.056,27.499,430639,441920,2664227,519121,524641,2941191,0.1004642534159077,0.08334054223730705
2006,5256390,6840310,119274051,117432961,844268,12.492,680897,10.074,18703235,6833331,11869904,5.819,15.927,15040847,5019255,10021592,4.274,12.808,3662388,3.119,25.616,460853,471298,2623617,541738,544076,2952904,0.10306274838815233,0.08767481103951572
2007,5293170,6918825,119789950,119562798,809158,11.764,728155,10.586,18279127,6351227,11927900,5.312,15.288,17828719,5894570,11934149,4.93,14.912,450408,0.377,29.823,467581,477442,2801212,509904,514793,2696220,0.09633244350738782,0.08833666781909517
2008,5232176,6875408,119579986,119641581,710970,10.31,751353,10.896,16962270,5619536,11342734,4.697,14.178,17117513,5589363,11528150,4.672,14.307,-155243,-0.13,28.355,495937,506558,2862896,471806,477391,2535370,0.09017395439297149,0.09478599343752962
2009,5090273,6739792,113690727,116783976,633083,9.283,792536,11.622,13390532,4972729,8417803,4.258,11.466,19590041,5591835,13998206,4.788,16.775,-6199509,-5.309,22.932,511670,524618,3060261,395780,401218,2201098,0.07775221486156048,0.1005191666537335
2010,5018827,6671833,111311896,112520084,637377,9.504,707124,10.544,13415939,4768663,8647276,4.238,11.923,15813173,4729622,11083551,4.203,14.054,-2397234,-2.13,23.846,440678,453281,2411848,379699,388434,2256395,0.0756549289306047,0.08780497913157796
2011,4995833,6668392,112880615,112105323,660170,9.898,663080,9.941,14736493,4564316,10172177,4.071,13.145,13175133,4243121,8932012,3.785,11.752,1561360,1.393,23.505,420932,433974,2213079,396280,398705,2096179,0.07932210704401048,0.08425661946666352
2012,5042668,6713558,115350389,114122557,670503,10.022,624461,9.333,15747633,4706195,11041438,4.124,13.799,13280900,4396146,8884754,3.852,11.637,2466733,2.161,23.275,380359,392685,2205896,409181,413846,2256799,0.08114375168065793,0.07542812653936369
2013,5067524,6753075,117601993,116500761,660778,9.815,619855,9.207,15542275,4901310,10640965,4.207,13.341,13339248,4471104,8868144,3.838,11.45,2203027,1.891,22.9,385307,393088,2218376,406030,408940,2146295,0.08012394218557228,0.07603456836119572
2014,5104517,6826141,120123275,118843445,673005,9.911,601217,8.854,15600228,5078167,10522061,4.273,13.127,13040155,4292523,8747632,3.612,10.973,2560073,2.154,21.945,382830,391333,2127395,412791,418376,2284847,0.08086778827458112,0.07499828093431758
2015,5151172,6910005,123230544,121683000,688633,10.026,605426,8.815,16287710,5378022,10909688,4.42,13.385,13184032,4300931,8883101,3.535,10.835,3103678,2.551,21.669,384397,394156,2237852,422049,426848,2315327,0.08193261649970143,0.07462321196030729
2016,5218382,7037870,125752970,124497221,712641,10.218,584974,8.388,16064058,5290637,10773421,4.25,12.903,13558244,4291699,9266545,3.447,10.89,2505814,2.013,21.781,388289,398275,2330232,443865,447447,2336052,0.0850579739083877,0.07440792950765199
2017,5251898,7078347,127487795,126484133,682018,9.663,640811,9.08,17102378,5304162,11798216,4.194,13.521,15106100,5147998,9958102,4.07,11.943,1996278,1.578,23.886,399484,410625,2492785,440210,444934,2324577,0.08381922116537678,0.07606469127922896
2018,5287859,7100489,129708103,128654849,654968,9.244,624670,8.816,16136183,4831149,11305034,3.755,12.542,14021118,4529261,9491857,3.52,10.898,2115065,1.644,21.796,403310,414597,2393244,442641,445101,2426405,0.08370892642939232,0.0762709444408408
2019,5337016,7165271,131929507,130784983,673744,9.446,608846,8.536,15669955,4819681,10850274,3.685,11.981,13415144,4328685,9086459,3.31,10.257,2254811,1.724,20.515,418868,427723,2421475,453851,456238,2441428,0.08503834352379681,0.07848355710381981
2020,5341601,7176619,132733734,132330104,680063,9.485,667311,9.307,15686471,5165874,10520597,3.904,11.854,14874964,4751544,10123420,3.591,11.241,811507,0.613,22.482,444189,455517,2569610,456698,460762,2397399,0.0854983365474134,0.08315652928775474
2021,5377307,7193411,126864765,129831546,754184,10.497,736662,10.253,14640627,4979576,9661051,3.835,11.277,20562557,5153381,15409176,3.969,15.838,-5921930,-4.561,22.553,485203,503961,2638588,476071,479347,2182842,0.08853334950003784,0.09023159734045313
